Range,REF,PropertyName,PropertyDescription,PropertyDescriptionShort,PropertyFilter,PropertyFilterShort,Source,SectorCount,PublicCount,Type,Subtype,Year,YearDesc,File,Field,DataType,DataTypeAlt,RecordFilterBy,Filter,FilterValue,Filter2,Filter2Value,Filter3,Filter3Value,Filter4,Filter4Value,Filter5,Filter5Value,ShouldBeNormalised,NormalisedLookup,CompoundFields,ReturnMultipleRecords,IgnoreMapping
England,25_KS2P_RWMEXP_TOT_ENG,RwmExpected_Tot_Cohort_Eng_Current_Num,"Reading, writing and maths expected standard",RwmExpected,Total,Tot,EES,0,0,KS2_Performance,Performance,,,,,,,,,,,,,,,,,,,,,,
England,25_KS2P_RWMEXP_READ_TOT_ENG,RwmExpected_Reading_Tot_Cohort_Eng_Current_Num,"Reading, writing and maths expected standard",RwmExpected,Total,Tot,EES,0,0,KS2_Performance,Performance,,,,,,,,subject,Reading,,,,,,,,,,,,,
England,25_KS2P_RWMEXP_WRIT_TOT_ENG,RwmExpected_Writing_Tot_Cohort_Eng_Current_Num,"Reading, writing and maths expected standard",RwmExpected,Total,Tot,EES,0,0,KS2_Performance,Performance,,,,,,,,subject,Writing,,,,,,,,,,,,,
England,25_KS2P_RWMEXP_MATH_TOT_ENG,RwmExpected_Maths_Tot_Cohort_Eng_Current_Num,"Reading, writing and maths expected standard",RwmExpected,Total,Tot,EES,0,0,KS2_Performance,Performance,,,,,,,,subject,Maths,,,,,,,,,,,,,
England,25_KS2P_RWMEXP_BOY_ENG,RwmExpected_Boy_Cohort_Eng_Current_Num,"Reading, writing and maths expected standard",RwmExpected,Boys,Boy,EES,0,0,KS2_Performance,Performance,,,,,,,,,,,,,,,,,,,,,,
England,25_KS2P_RWMEXP_READ_BOY_ENG,RwmExpected_Reading_Boy_Cohort_Eng_Current_Num,"Reading, writing and maths expected standard",RwmExpected,Boys,Boy,EES,0,0,KS2_Performance,Performance,,,,,,,,subject,Reading,,,,,,,,,,,,,
England,25_KS2P_RWMEXP_WRIT_BOY_ENG,RwmExpected_Writing_Boy_Cohort_Eng_Current_Num,"Reading, writing and maths expected standard",RwmExpected,Boys,Boy,EES,0,0,KS2_Performance,Performance,,,,,,,,subject,Writing,,,,,,,,,,,,,
England,25_KS2P_RWMEXP_MATH_BOY_ENG,RwmExpected_Maths_Boy_Cohort_Eng_Current_Num,"Reading, writing and maths expected standard",RwmExpected,Boys,Boy,EES,0,0,KS2_Performance,Performance,,,,,,,,subject,Maths,,,,,,,,,,,,,
England,25_KS2P_RWMEXP_GRL_ENG,RwmExpected_Grl_Cohort_Eng_Current_Num,"Reading, writing and maths expected standard",RwmExpected,Girls,Grl,EES,0,0,KS2_Performance,Performance,,,,,,,,,,,,,,,,,,,,,,
England,25_KS2P_RWMEXP_READ_GRL_ENG,RwmExpected_Reading_Grl_Cohort_Eng_Current_Num,"Reading, writing and maths expected standard",RwmExpected,Girls,Grl,EES,0,0,KS2_Performance,Performance,,,,,,,,subject,Reading,,,,,,,,,,,,,
