Range,REF,PropertyName,PropertyDescription,PropertyDescriptionShort,PropertyFilter,PropertyFilterShort,Source,SectorCount,PublicCount,Type,Subtype,Year,YearDesc,File,Field,DataType,DataTypeAlt,RecordFilterBy,Filter,FilterValue,Filter2,Filter2Value,Filter3,Filter3Value,Filter4,Filter4Value,Filter5,Filter5Value,Filter6,Filter6Value,Filter7,Filter7Value,Filter8,Filter8Value,Filter9,Filter9Value,ShouldBeNormalised,NormalisedLookup,CompoundFields,ReturnMultipleRecords,IgnoreMapping
,,,Establishment Metadata ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Establishment,G_MAT,TrustsId,Establishment Academy Trust ,,,,GIAS,1,1,All establishment data,Metadata,Current,Current,edubasealldataYYYYmmDD,Trusts (code),string,text,URN,,,,,,,,,,,,,,,,,,,Yes,"Trusts (code), Trusts (name)",,,
Establishment,G_ADD,Address,Establishment Address,,,,GIAS,2,2,All establishment data,Metadata,Current,Current,edubasealldataYYYYmmDD,Street + Locality + Address3 + Town + Postcode,string,text,URN,,,,,,,,,,,,,,,,,,,No,,Field,,
Establishment,G_ADM,AdmissionsPolicyId,Establishment Admission Policy,,,,GIAS,1,0,All establishment data,Metadata,Current,Current,edubasealldataYYYYmmDD,AdmissionsPolicy (code),string,text,URN,,,,,,,,,,,,,,,,,,,Yes,"AdmissionsPolicy (code), AdmissionsPolicy (name)",,,
Establishment,G_AGE,AgeRange,Establishment Age Range,,,,GIAS,1,1,All establishment data,Metadata,Current,Current,edubasealldataYYYYmmDD,StatutoryLowAge + StatutoryHighAge,string,text,URN,,,,,,,,,,,,,,,,,,,No,,Field,,
Establishment,G_DFEN,DFENumber,Establishment DfE Number (LA/Estab),,,,GIAS,1,0,All establishment data,Metadata,Current,Current,edubasealldataYYYYmmDD,LA (code) + / + EstablishmentNumber,string,text,URN,,,,,,,,,,,,,,,,,,,No,,Field,,
Establishment,G_REG,DistrictAdministrativeId,Establishment District Administration ,,,,GIAS,1,0,All establishment data,Metadata,Current,Current,edubasealldataYYYYmmDD,DistrictAdministrative (code),string,text,URN,,,,,,,,,,,,,,,,,,,Yes,"DistrictAdministrative (code), DistrictAdministrative (name)",,,
Establishment,G_PHASE,PhaseOfEducationId,Establishment Educational Phase,,,,GIAS,1,0,All establishment data,Metadata,Current,Current,edubasealldataYYYYmmDD,PhaseOfEducation (code),string,text,URN,,,,,,,,,,,,,,,,,,,Yes,"PhaseOfEducation (code), PhaseOfEducation (name)",,,
Establishment,G_GEN,GenderId,Establishment Gender range,,,,GIAS,1,1,All establishment data,Metadata,Current,Current,edubasealldataYYYYmmDD,Gender (code),string,text,URN,,,,,,,,,,,,,,,,,,,Yes,"Gender (code), Gender (name)",,,
Establishment,G_HEAD,HeadteacherTitle,Establishment Headteacher title,,,,GIAS,0,0,All establishment data,Metadata,Current,Current,edubasealldataYYYYmmDD,HeadTitle (name),string,text,URN,,,,,,,,,,,,,,,,,,,No,,,,
Establishment,G_HEAD,HeadteacherFirstName,Establishment Headteacher First Name,,,,GIAS,0,0,All establishment data,Metadata,Current,Current,edubasealldataYYYYmmDD,HeadFirstName,string,text,URN,,,,,,,,,,,,,,,,,,,No,,,,
Establishment,G_HEAD,HeadteacherLastName,Establishment Headteacher Last Name,,,,GIAS,0,0,All establishment data,Metadata,Current,Current,edubasealldataYYYYmmDD,HeadLastName,string,text,URN,,,,,,,,,,,,,,,,,,,No,,,,
Establishment,G_HEAD,HeadteacherPreferredJobTitle,Establishment Headteacher Preferred Job Title,,,,GIAS,0,0,All establishment data,Metadata,Current,Current,edubasealldataYYYYmmDD,HeadPreferredJobTitle,string,text,URN,,,,,,,,,,,,,,,,,,,No,,,,
Establishment,G_ADD,AddressStreet,Establishment Address Street,,,,GIAS,0,0,All establishment data,Metadata,Current,Current,edubasealldataYYYYmmDD,Street,string,text,URN,,,,,,,,,,,,,,,,,,,No,,,,
Establishment,G_ADD,AddressLocality,Establishment Address Locality,,,,GIAS,0,0,All establishment data,Metadata,Current,Current,edubasealldataYYYYmmDD,Locality,string,text,URN,,,,,,,,,,,,,,,,,,,No,,,,
Establishment,G_ADD,AddressAddress3,Establishment Address Address3,,,,GIAS,0,0,All establishment data,Metadata,Current,Current,edubasealldataYYYYmmDD,Address3,string,text,URN,,,,,,,,,,,,,,,,,,,No,,,,
Establishment,G_ADD,AddressTown,Establishment Address Town,,,,GIAS,0,0,All establishment data,Metadata,Current,Current,edubasealldataYYYYmmDD,Town,string,text,URN,,,,,,,,,,,,,,,,,,,No,,,,
Establishment,G_ADD,AddressPostcode,Establishment Address Postcode,,,,GIAS,0,0,All establishment data,Metadata,Current,Current,edubasealldataYYYYmmDD,Postcode,string,text,URN,,,,,,,,,,,,,,,,,,,No,,,,
Establishment,G_AGE,AgeRangeLow,Establishment Age Low,,,,GIAS,0,0,All establishment data,Metadata,Current,Current,edubasealldataYYYYmmDD,StatutoryLowAge,string,text,URN,,,,,,,,,,,,,,,,,,,No,,,,
Establishment,G_AGE,AgeRangeHigh,Establishment Age High,,,,GIAS,0,0,All establishment data,Metadata,Current,Current,edubasealldataYYYYmmDD,StatutoryHighAge,string,text,URN,,,,,,,,,,,,,,,,,,,No,,,,
