"Range","REF","PropertyName","PropertyDescription","PropertyDescriptionShort","PropertyFilter","PropertyFilterShort","Source","SectorCount","PublicCount","Type","Subtype","Year","YearDesc","File","Field","DataType","DataTypeAlt","RecordFilterBy","Filter","FilterValue","Filter2","Filter2Value","Filter3","Filter3Value","Filter4","Filter4Value","Filter5","Filter5Value","ShouldBeNormalised","NormalisedLookup","CompoundFields","ReturnMultipleRecords","IgnoreMapping"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","",""," England Absence - Current (2025-26) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"England","","Id","EnglandAbsence Id","","","","EES","","","PupilAbsence","Absence","Current","Current","EnglandAbsence","Id","string","text","Id","","","","","","","","","","","No","","","",""
"England","","Abs_Persistent_Eng_Current_Pct","EnglandAbsence Abs_Persistent_Eng_Current_Pct","","","","EES","","","PupilAbsence","Absence","2025-2026","Current","EnglandAbsence","Abs_Persistent_Eng_Current_Pct","double","percentage","Id","","","","","","","","","","","No","","","",""
"England","","Abs_Tot_Eng_Current_Pct","EnglandAbsence Abs_Tot_Eng_Current_Pct","","","","EES","","","PupilAbsence","Absence","2025-2026","Current","EnglandAbsence","Abs_Tot_Eng_Current_Pct","double","percentage","Id","","","","","","","","","","","No","","","",""
"England","","Auth_Tot_Eng_Current_Pct","EnglandAbsence Auth_Tot_Eng_Current_Pct","","","","EES","","","PupilAbsence","Absence","2025-2026","Current","EnglandAbsence","Auth_Tot_Eng_Current_Pct","double","percentage","Id","","","","","","","","","","","No","","","",""
"England","","Auth_Tot_Eng_Previous_Pct","EnglandAbsence Auth_Tot_Eng_Previous_Pct","","","","EES","","","PupilAbsence","Absence","2024-2025","Previous","EnglandAbsence","Auth_Tot_Eng_Current_Pct","double","percentage","Id","","","","","","","","","","","No","","","",""
"England","","Auth_Tot_Eng_Previous2_Pct","EnglandAbsence Auth_Tot_Eng_Previous2_Pct","","","","EES","","","PupilAbsence","Absence","2023-2024","Previous2","EnglandAbsence","Auth_Tot_Eng_Current_Pct","double","percentage","Id","","","","","","","","","","","No","","","",""
"England","","UnAuth_Tot_Eng_Current_Pct","EnglandAbsence UnAuth_Tot_Eng_Current_Pct","","","","EES","","","PupilAbsence","Absence","2025-2026","Current","EnglandAbsence","UnAuth_Tot_Eng_Current_Pct","double","percentage","Id","","","","","","","","","","","No","","","",""
"England","","UnAuth_Tot_Eng_Previous_Pct","EnglandAbsence UnAuth_Tot_Eng_Previous_Pct","","","","EES","","","PupilAbsence","Absence","2024-2025","Previous","EnglandAbsence","UnAuth_Tot_Eng_Current_Pct","double","percentage","Id","","","","","","","","","","","No","","","",""
